From	To	Species	Gene Name
NM_001332	CTNND2	Homo sapiens	catenin delta 2(CTNND2)
NM_001333	CTSV	Homo sapiens	cathepsin V(CTSV)
NM_003996	GPX5	Homo sapiens	glutathione peroxidase 5(GPX5)
NM_001081491	NXF1	Homo sapiens	nuclear RNA export factor 1(NXF1)
NM_001334	CTSO	Homo sapiens	cathepsin O(CTSO)
NM_003995	NPR2	Homo sapiens	natriuretic peptide receptor 2(NPR2)
NM_001081492	KRT80	Homo sapiens	keratin 80(KRT80)
NM_001335	CTSW	Homo sapiens	cathepsin W(CTSW)
NM_003998	NFKB1	Homo sapiens	nuclear factor kappa B subunit 1(NFKB1)
NM_001336	CTSZ	Homo sapiens	cathepsin Z(CTSZ)
NM_001337	CX3CR1	Homo sapiens	C-X3-C motif chemokine receptor 1(CX3CR1)
NM_001338	CXADR	Homo sapiens	CXADR Ig-like cell adhesion molecule(CXADR)
NM_003999	OSMR	Homo sapiens	oncostatin M receptor(OSMR)
NM_013316	CNOT4	Homo sapiens	CCR4-NOT transcription complex subunit 4(CNOT4)
NM_013314	BLNK	Homo sapiens	B cell linker(BLNK)
NM_013313	YPEL1	Homo sapiens	yippee like 1(YPEL1)
NM_013312	HOOK2	Homo sapiens	hook microtubule tethering protein 2(HOOK2)
NM_001340	CYLC2	Homo sapiens	cylicin 2(CYLC2)
NM_013310	LINC03124	Homo sapiens	long intergenic non-protein coding RNA 3124(LINC03124)
NM_015972	POLR1D	Homo sapiens	RNA polymerase I and III subunit D(POLR1D)
NM_015973	GAL	Homo sapiens	galanin and GMAP prepropeptide(GAL)
NM_015974	CRYL1	Homo sapiens	crystallin lambda 1(CRYL1)
NM_015975	TAF9B	Homo sapiens	TATA-box binding protein associated factor 9b(TAF9B)
NM_052929	FHAD1	Homo sapiens	forkhead associated phosphopeptide binding domain 1(FHAD1)
NM_015976	SNX7	Homo sapiens	sorting nexin 7(SNX7)
NM_052928	SMYD4	Homo sapiens	SET and MYND domain containing 4(SMYD4)
NM_052927	PWWP2A	Homo sapiens	PWWP domain containing 2A(PWWP2A)
NM_015978	TNNI3K	Homo sapiens	TNNI3 interacting kinase(TNNI3K)
NM_013319	UBIAD1	Homo sapiens	UbiA prenyltransferase domain containing 1(UBIAD1)
NM_015979	MED23	Homo sapiens	mediator complex subunit 23(MED23)
NM_052926	PNMA5	Homo sapiens	PNMA family member 5(PNMA5)
NM_013318	PRRC2B	Homo sapiens	proline rich coiled-coil 2B(PRRC2B)
NM_052913	TMEM200A	Homo sapiens	transmembrane protein 200A(TMEM200A)
NM_052911	ESCO1	Homo sapiens	establishment of sister chromatid cohesion N-acetyltransferase 1(ESCO1)
NM_052910	SLITRK1	Homo sapiens	SLIT and NTRK like family member 1(SLITRK1)
NM_001364	DLG2	Homo sapiens	discs large MAGUK scaffold protein 2(DLG2)
NM_013353	TMOD4	Homo sapiens	tropomodulin 4(TMOD4)
NM_001365	DLG4	Homo sapiens	discs large MAGUK scaffold protein 4(DLG4)
NM_001081461	JMJD6	Homo sapiens	jumonji domain containing 6, arginine demethylase and lysine hydroxylase(JMJD6)
NM_013352	DSE	Homo sapiens	dermatan sulfate epimerase(DSE)
NM_013351	TBX21	Homo sapiens	T-box transcription factor 21(TBX21)
NM_001369	DNAH5	Homo sapiens	dynein axonemal heavy chain 5(DNAH5)
NM_013349	NENF	Homo sapiens	neudesin neurotrophic factor(NENF)
NM_013348	KCNJ14	Homo sapiens	potassium inwardly rectifying channel subfamily J member 14(KCNJ14)
NM_001370	DNAH6	Homo sapiens	dynein axonemal heavy chain 6(DNAH6)
NM_013347	RPA4	Homo sapiens	replication protein A4(RPA4)
NM_001371	DNAH8	Homo sapiens	dynein axonemal heavy chain 8(DNAH8)
NM_013346	SNX12	Homo sapiens	sorting nexin 12(SNX12)
NM_001372	DNAH9	Homo sapiens	dynein axonemal heavy chain 9(DNAH9)
NM_013345	GPR132	Homo sapiens	G protein-coupled receptor 132(GPR132)
NM_001373	DNAH14	Homo sapiens	dynein axonemal heavy chain 14(DNAH14)
NM_001374	DNASE1L2	Homo sapiens	deoxyribonuclease 1 like 2(DNASE1L2)
NM_052918	SORCS1	Homo sapiens	sortilin related VPS10 domain containing receptor 1(SORCS1)
NM_052917	GALNT13	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 13(GALNT13)
NM_052916	RNF157	Homo sapiens	ring finger protein 157(RNF157)
NM_052903	TUBGCP5	Homo sapiens	tubulin gamma complex component 5(TUBGCP5)
NM_052902	STK11IP	Homo sapiens	serine/threonine kinase 11 interacting protein(STK11IP)
NM_052901	SLC25A25	Homo sapiens	solute carrier family 25 member 25(SLC25A25)
NM_052900	CSMD3	Homo sapiens	CUB and Sushi multiple domains 3(CSMD3)
NM_001353	AKR1C1	Homo sapiens	aldo-keto reductase family 1 member C1(AKR1C1)
NM_013342	TFPT	Homo sapiens	TCF3 fusion partner(TFPT)
NM_001354	AKR1C2	Homo sapiens	aldo-keto reductase family 1 member C2(AKR1C2)
NM_001081472	SPATA1	Homo sapiens	spermatogenesis associated 1(SPATA1)
NM_013341	OLA1	Homo sapiens	Obg like ATPase 1(OLA1)
NM_001355	DDT	Homo sapiens	D-dopachrome tautomerase(DDT)
NM_013340	PCDHB1	Homo sapiens	protocadherin beta 1(PCDHB1)
NM_001356	DDX3X	Homo sapiens	DEAD-box helicase 3 X-linked(DDX3X)
NM_001357	DHX9	Homo sapiens	DExH-box helicase 9(DHX9)
NM_001358	DHX15	Homo sapiens	DEAH-box helicase 15(DHX15)
NM_001359	DECR1	Homo sapiens	2,4-dienoyl-CoA reductase 1(DECR1)
NM_013339	ALG6	Homo sapiens	ALG6 alpha-1,3-glucosyltransferase(ALG6)
NM_013338	ALG5	Homo sapiens	ALG5 dolichyl-phosphate beta-glucosyltransferase(ALG5)
NM_013337	TIMM22	Homo sapiens	translocase of inner mitochondrial membrane 22(TIMM22)
NM_013336	SEC61A1	Homo sapiens	SEC61 translocon subunit alpha 1(SEC61A1)
NM_001360	DHCR7	Homo sapiens	7-dehydrocholesterol reductase(DHCR7)
NM_013335	GMPPA	Homo sapiens	GDP-mannose pyrophosphorylase A(GMPPA)
NM_001361	DHODH	Homo sapiens	dihydroorotate dehydrogenase (quinone)(DHODH)
NM_001164281	TRAF3IP2	Homo sapiens	TRAF3 interacting protein 2(TRAF3IP2)
NM_013334	GMPPB	Homo sapiens	GDP-mannose pyrophosphorylase B(GMPPB)
NM_001362	DIO3	Homo sapiens	iodothyronine deiodinase 3(DIO3)
NM_001164282	TRAF3IP2	Homo sapiens	TRAF3 interacting protein 2(TRAF3IP2)
NM_013333	EPN1	Homo sapiens	epsin 1(EPN1)
NM_001363	DKC1	Homo sapiens	dyskerin pseudouridine synthase 1(DKC1)
NM_001164283	TRAF3IP2	Homo sapiens	TRAF3 interacting protein 2(TRAF3IP2)
NM_013332	HILPDA	Homo sapiens	hypoxia inducible lipid droplet associated(HILPDA)
NM_015994	ATP6V1D	Homo sapiens	ATPase H+ transporting V1 subunit D(ATP6V1D)
NM_015995	KLF13	Homo sapiens	KLF transcription factor 13(KLF13)
NM_052909	PLEKHG4B	Homo sapiens	pleckstrin homology and RhoGEF domain containing G4B(PLEKHG4B)
NM_015997	METTL25B	Homo sapiens	methyltransferase like 25B(METTL25B)
NM_052907	TMEM132B	Homo sapiens	transmembrane protein 132B(TMEM132B)
NM_052906	ELFN2	Homo sapiens	extracellular leucine rich repeat and fibronectin type III domain containing 2(ELFN2)
NM_015999	ADIPOR1	Homo sapiens	adiponectin receptor 1(ADIPOR1)
NM_052905	FMNL2	Homo sapiens	formin like 2(FMNL2)
NM_052904	KLHL32	Homo sapiens	kelch like family member 32(KLHL32)
NM_001306	CLDN3	Homo sapiens	claudin 3(CLDN3)
NM_003969	UBE2M	Homo sapiens	ubiquitin conjugating enzyme E2 M(UBE2M)
NM_001307	CLDN7	Homo sapiens	claudin 7(CLDN7)
NM_003968	UBA3	Homo sapiens	ubiquitin like modifier activating enzyme 3(UBA3)
NM_001308	CPN1	Homo sapiens	carboxypeptidase N subunit 1(CPN1)
NM_003961	RHBDL1	Homo sapiens	rhomboid like 1(RHBDL1)
NM_001164273	MGA	Homo sapiens	MAX dimerization protein MGA(MGA)
NM_003960	NAT8	Homo sapiens	N-acetyltransferase 8 (putative)(NAT8)
NM_001300	KLF6	Homo sapiens	KLF transcription factor 6(KLF6)
NM_001164276	ZNF44	Homo sapiens	zinc finger protein 44(ZNF44)
NM_001302	CORT	Homo sapiens	cortistatin(CORT)
NM_001164277	SLC37A4	Homo sapiens	solute carrier family 37 member 4(SLC37A4)
NM_003965	CCRL2	Homo sapiens	C-C motif chemokine receptor like 2(CCRL2)
NM_001303	COX10	Homo sapiens	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10(COX10)
NM_001164278	SLC37A4	Homo sapiens	solute carrier family 37 member 4(SLC37A4)
NM_001304	CPD	Homo sapiens	carboxypeptidase D(CPD)
NM_001164279	SLC37A4	Homo sapiens	solute carrier family 37 member 4(SLC37A4)
NM_003967	TAAR5	Homo sapiens	trace amine associated receptor 5(TAAR5)
NM_001305	CLDN4	Homo sapiens	claudin 4(CLDN4)
NM_003966	SEMA5A	Homo sapiens	semaphorin 5A(SEMA5A)
NM_015947	ASCC1	Homo sapiens	activating signal cointegrator 1 complex subunit 1(ASCC1)
NM_015948	SLC35B3	Homo sapiens	solute carrier family 35 member B3(SLC35B3)
NM_015949	GET4	Homo sapiens	guided entry of tail-anchored proteins factor 4(GET4)
NM_001164270	RAD51	Homo sapiens	RAD51 recombinase(RAD51)
NM_003970	MYOM2	Homo sapiens	myomesin 2(MYOM2)
NM_001164271	DLC1	Homo sapiens	DLC1 Rho GTPase activating protein(DLC1)
NM_015941	ATP6V1H	Homo sapiens	ATPase H+ transporting V1 subunit H(ATP6V1H)
NM_015942	MTERF3	Homo sapiens	mitochondrial transcription termination factor 3(MTERF3)
NM_015944	AMDHD2	Homo sapiens	amidohydrolase domain containing 2(AMDHD2)
NM_015945	SLC35C2	Homo sapiens	solute carrier family 35 member C2(SLC35C2)
NM_015946	PELO	Homo sapiens	pelota mRNA surveillance and ribosome rescue factor(PELO)
NM_003958	RNF8	Homo sapiens	ring finger protein 8(RNF8)
NM_003957	BRSK2	Homo sapiens	BR serine/threonine kinase 2(BRSK2)
NM_003959	HIP1R	Homo sapiens	huntingtin interacting protein 1 related(HIP1R)
NM_001164262	PPIAL4F	Homo sapiens	peptidylprolyl isomerase A like 4F(PPIAL4F)
NM_003950	F2RL3	Homo sapiens	F2R like thrombin or trypsin receptor 3(F2RL3)
NM_003952	RPS6KB2	Homo sapiens	ribosomal protein S6 kinase B2(RPS6KB2)
NM_003951	SLC25A14	Homo sapiens	solute carrier family 25 member 14(SLC25A14)
NM_001164266	LTBP3	Homo sapiens	latent transforming growth factor beta binding protein 3(LTBP3)
NM_003954	MAP3K14	Homo sapiens	mitogen-activated protein kinase kinase kinase 14(MAP3K14)
NM_003953	MPZL1	Homo sapiens	myelin protein zero like 1(MPZL1)
NM_003956	CH25H	Homo sapiens	cholesterol 25-hydroxylase(CH25H)
NM_001164269	RAD51	Homo sapiens	RAD51 recombinase(RAD51)
NM_003955	SOCS3	Homo sapiens	suppressor of cytokine signaling 3(SOCS3)
NM_015937	PIGT	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class T(PIGT)
NM_015938	NMD3	Homo sapiens	NMD3 ribosome export adaptor(NMD3)
NM_015939	TRMT6	Homo sapiens	tRNA methyltransferase 6 non-catalytic subunit(TRMT6)
NM_015931	SSUH2	Homo sapiens	ssu-2 homolog(SSUH2)
NM_015932	POMP	Homo sapiens	proteasome maturation protein(POMP)
NM_015933	TMA7	Homo sapiens	translation machinery associated 7 homolog(TMA7)
NM_015934	NOP58	Homo sapiens	NOP58 ribonucleoprotein(NOP58)
NM_015935	METTL13	Homo sapiens	methyltransferase 13, eEF1A N-terminus and K55(METTL13)
NM_001328	CTBP1	Homo sapiens	C-terminal binding protein 1(CTBP1)
NM_001329	CTBP2	Homo sapiens	C-terminal binding protein 2(CTBP2)
NM_015971	MRPS7	Homo sapiens	mitochondrial ribosomal protein S7(MRPS7)
NM_001320	CSNK2B	Homo sapiens	casein kinase 2 beta(CSNK2B)
NM_003983	SLC7A6	Homo sapiens	solute carrier family 7 member 6(SLC7A6)
NM_001321	CSRP2	Homo sapiens	cysteine and glycine rich protein 2(CSRP2)
NM_003982	SLC7A7	Homo sapiens	solute carrier family 7 member 7(SLC7A7)
NM_001322	CST2	Homo sapiens	cystatin SA(CST2)
NM_003985	TNK1	Homo sapiens	tyrosine kinase non receptor 1(TNK1)
NM_001323	CST6	Homo sapiens	cystatin E/M(CST6)
NM_003984	SLC13A2	Homo sapiens	solute carrier family 13 member 2(SLC13A2)
NM_001324	CSTF1	Homo sapiens	cleavage stimulation factor subunit 1(CSTF1)
NM_003987	PAX2	Homo sapiens	paired box 2(PAX2)
NM_001325	CSTF2	Homo sapiens	cleavage stimulation factor subunit 2(CSTF2)
NM_003986	BBOX1	Homo sapiens	gamma-butyrobetaine hydroxylase 1(BBOX1)
NM_001326	CSTF3	Homo sapiens	cleavage stimulation factor subunit 3(CSTF3)
NM_003989	PAX2	Homo sapiens	paired box 2(PAX2)
NM_001164257	PRR29	Homo sapiens	proline rich 29(PRR29)
NM_003988	PAX2	Homo sapiens	paired box 2(PAX2)
NM_015969	MRPS17	Homo sapiens	mitochondrial ribosomal protein S17(MRPS17)
NM_013306	SNX15	Homo sapiens	sorting nexin 15(SNX15)
NM_013305	ST8SIA5	Homo sapiens	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5(ST8SIA5)
NM_013304	ZDHHC1	Homo sapiens	zinc finger DHHC-type containing 1(ZDHHC1)
